,time,obj,rows,iter,type
0,0.054853200912475586,192.0,46,62.0,integer
1,0.2850480079650879,474.0,146,321.0,integer
2,0.8124139308929443,959.0,246,742.0,integer
3,2.0652029514312744,914.0,346,5869.0,integer
4,6.251707077026367,805.0,446,5096.0,integer
5,8.67168402671814,1072.0,546,14492.0,integer
6,8.192972183227539,1326.0,646,1723.0,integer
0,0.034655094146728516,192.0,552,68.0,integer
1,0.5781099796295166,474.0,5402,316.0,integer
2,0.5622320175170898,959.0,15252,688.0,integer
3,3.568405866622925,914.0,30102,1644.0,integer
4,8.657685041427612,805.0,49952,5080.0,integer
5,3.5501809120178223,1072.0,74802,3585.0,integer
6,9.428897142410278,1326.0,104652,4303.0,integer
